Series,Episode,Contestant,Result,Final Review,Winner,Eliminated,Technical_Rank
10,3,Rebs,SAFE,,,,
10,4,Rebs,OUT,-1,,1,9.0
10,1,Maisam,LOW,-1,,,5.0
10,2,Maisam,OUT,-1,,1,7.0
10,1,Will,OUT,-1,,1,9.0
11,1,Matty,SAFE,,,,7.0
11,2,Matty,SAFE,,,,5.0
11,3,Matty,SAFE,,,,7.0
11,4,Matty,SB,1,1,,2.0
11,5,Matty,SAFE,,,,7.0
11,6,Matty,LOW,-1,,,4.0
11,7,Matty,SAFE,,,,6.0
11,8,Matty,SB,1,1,,3.0
11,9,Matty,LOW,-1,,,2.0
11,10,Matty,WINNER,,1,,3.0
11,1,Dan,SB,1,1,,1.0
11,2,Dan,SAFE,,,,2.0
11,3,Dan,LOW,-1,,,10.0
11,4,Dan,HIGH,1,,,1.0
11,5,Dan,SAFE,,,,1.0
11,6,Dan,SAFE,,,,3.0
11,7,Dan,SB,1,1,,2.0
11,8,Dan,LOW,-1,,,5.0
11,9,Dan,HIGH,1,,,3.0
11,10,Dan,RUNNER-UP,,,,2.0
11,1,Josh,SAFE,,,,8.0
11,2,Josh,HIGH,1,,,6.0
11,3,Josh,HIGH,1,,,4.0
11,4,Josh,SAFE,,,,6.0
11,5,Josh,HIGH,1,,,8.0
11,6,Josh,SB,1,1,,2.0
11,7,Josh,HIGH,1,,,3.0
11,8,Josh,HIGH,1,,,4.0
11,9,Josh,SB,1,1,,1.0
11,10,Josh,RUNNER-UP,,,,1.0
11,1,Tasha,SAFE,,,,11.0
11,2,Tasha,SB,1,1,,8.0
11,3,Tasha,SB,1,1,,2.0
11,4,Tasha,SAFE,,,,
11,5,Tasha,SAFE,,,,3.0
11,6,Tasha,HIGH,1,,,7.0
11,7,Tasha,SAFE,,,,1.0
11,8,Tasha,SAFE,,,,1.0
11,9,Tasha,OUT,-1,,1,4.0
11,1,Cristy,HIGH,1,,,6.0
11,2,Cristy,SAFE,,,,9.0
11,3,Cristy,SAFE,,,,6.0
11,4,Cristy,LOW,-1,,,7.0
11,5,Cristy,SB,1,1,,5.0
11,6,Cristy,HIGH,1,,,1.0
11,7,Cristy,LOW,-1,,,4.0
11,8,Cristy,OUT,-1,,1,2.0
11,1,Saku,SAFE,,,,5.0
11,2,Saku,SAFE,,,,10.0
11,3,Saku,SAFE,,,,1.0
11,4,Saku,LOW,-1,,,8.0
11,5,Saku,LOW,-1,,,6.0
11,6,Saku,LOW,-1,,,5.0
11,7,Saku,OUT,-1,,1,5.0
11,1,Dana,LOW,-1,,,12.0
11,2,Dana,SAFE,,,,7.0
11,3,Dana,SAFE,,,,3.0
11,4,Dana,SAFE,,,,5.0
11,5,Dana,LOW,-1,,,2.0
11,6,Dana,OUT,-1,,1,6.0
11,1,Nicky,LOW,-1,,,10.0
11,2,Nicky,LOW,-1,,,4.0
11,3,Nicky,SAFE,,,,5.0
11,4,Nicky,HIGH,1,,,4.0
11,5,Nicky,OUT,-1,,1,9.0
11,1,Rowan,SAFE,,,,9.0
